,Accident_Index,Longitude,Latitude
1318159,201245RU74966,-0.487541,51.360564
1336433,2.01253E+12,-2.145845,51.890922
1439244,2013400DA0052,-0.559509,52.057451
630900,200814H012208,-1.494192,53.385241
915125,201001MM71013,-0.065558,51.489159
990210,201034NE07190,-0.602993,52.462486
1108925,2.01113E+12,-1.725709,53.878203
1746049,2.01545E+12,0.009903,51.267511
702993,2.00847E+12,0.100787,50.97907
1146250,2.01136E+12,1.510493,52.500817
1756588,201550CD3D013,-4.204311,51.018885
1424665,201331A202313,-1.293622,53.073179
781855,2.00907E+12,-2.329018,53.357634
551849,2.00761E+12,-2.992786,51.582198
1404048,2.01314E+12,-1.762885,53.498319
350033,200650A42C682,-5.122023,50.307461
1205989,201197AE01712,-4.371581,55.910442
887207,2.00961E+12,-4.27752,53.219828
1544326,20141317S0852,-1.741013,53.892744
1289153,2.01233E+12,-1.095717,52.642141
305964,2.00635E+12,0.261039,52.10427
1490917,201397BA02101,-4.182004,55.862163
948455,2.0101E+12,-1.557718,55.127907
1220696,201201MM71115,-0.090006,51.465998
1519730,201401ZD30968,-0.136704,51.31621
1384927,201305CC05589,-2.877739,53.460329
56328,2.0051E+12,-2.009845,55.760762
1270438,201220M006262,-1.488445,52.428724
729656,2.00892E+12,-2.486708,57.086701
1331124,201250JC4P003,-3.680903,50.744
1638051,201497GE04708,-4.273065,55.845729
1734541,201543P136035,-1.26382,51.752789
175044,2005555E02705,-1.890276,50.801153
1060661,201101CW11515,-0.132765,51.522442
554128,2.00762E+12,-3.703806,51.517466
1105084,2.01112E+12,-1.450352,54.008214
950020,201011NI31580,-1.723938,54.78835
145297,200545RE76145,-0.205419,51.257929
1412416,201320M003613,-1.509592,52.444906
595355,200804AX08034,-3.038199,53.819017
534937,200750B71P734,-4.709717,50.636867
1039859,20105500D0757,-2.059976,50.786711
410400,200701ZD39003,-0.09642,51.367181
1319362,201245WO70500,-0.562106,51.318699
653307,200830C000197,-1.416949,53.217243
1286469,201232E407212,0.048989,53.150703
1278739,2.01223E+12,-1.509914,52.372014
1464956,2.01347E+12,-0.339784,51.091412
1350645,2.01295E+12,-3.193948,55.934859
1136082,201131C195311,-1.147912,52.980072
725440,2.00862E+12,-3.63282,51.579894
944005,2.01007E+12,-2.424575,53.084693
481758,200732B318807,-0.598454,52.803896
1323876,2.01246E+12,0.89994,51.145896
969653,201020N501330,-1.828152,52.513044
1205428,2.01196E+12,-3.947377,56.145966
326812,200643S112106,-0.737746,51.995476
983618,20103102C1721,-1.165523,52.961166
357686,2.00652E+12,-2.28931,51.418525
1299963,20124100D0778,-0.463018,51.761571
460738,200720G076101,-2.134273,52.582945
1136246,201131C251111,-1.148535,52.944585
851108,200943R066089,-0.600601,51.510613
1255796,2.01212E+12,-1.418773,54.359539
431721,2.00707E+12,-2.58512,53.43962
700668,2.00846E+12,1.379438,51.335409
1098781,2.01107E+12,-2.725119,53.297636
633941,2008160C07500,-0.443229,53.729897
1724912,201537EA94654,0.413121,52.24602
1359754,201301FH10154,-0.222415,51.478333
360767,2.00653E+12,-2.292793,51.804972
1487109,2.01393E+12,-3.314649,56.333722
765046,2.00903E+12,-2.90691,54.927628
565090,200797CD02708,-4.353567,55.948537
285578,200622EA36665,-2.572502,52.096961
834423,2.00935E+12,0.264654,52.394021
1194036,201160M056761,-3.751231,53.299119
1172186,201145WO59078,-0.560514,51.300784
1514249,201401VW40263,-0.170201,51.408376
1383619,201304TA13156,-2.879291,53.80658
1099615,2.0111E+12,-1.439982,54.900514
1087407,201104EM11037,-2.408319,53.782287
399979,200701PY20426,0.034307,51.350774
101720,20053102C3143,-1.156555,52.955349
476161,200730C000629,-1.334791,53.290614
1017636,201045MO56995,-0.182824,51.165762
1031390,201050FT2F012,-3.522825,50.461019
62584,2.00513E+12,-1.739077,53.783228
387839,2.00698E+12,-3.083699,54.996548
307818,2.00636E+12,1.000136,52.39265
1539176,201411SJ06144,-1.612841,54.588143
379078,2.00695E+12,-3.128991,55.914086
506946,200743N226127,-0.804728,51.821021
1230901,201201XH30125,-0.442949,51.552778
857760,2.00944E+12,-1.172347,50.64179
1464167,2.01346E+12,1.208394,51.226167
385951,200697QA01001,-4.206764,55.758202
1768149,2.01561E+12,-3.013989,51.569646
1342203,2.01261E+12,-3.208671,51.787345
429020,200706QA86214,-2.165129,53.522376
1694976,2015160C05381,-0.100789,53.762947
184410,200563BC22105,-4.656748,52.077487
342484,2.00646E+12,0.370926,51.442022
985266,201032B154110,-0.242481,52.710148
1220679,201201MM71069,-0.085901,51.491831
1318880,201245TA72067,0.013542,51.240697
565076,200797CD01803,-4.220883,55.911096
959445,201014A206910,-1.057133,53.425377
1161245,201143R144081,-0.771663,51.386998
873072,200950BW3L032,-4.940097,50.538896
1090712,201105EE05537,-2.975328,53.426285
395877,200701KF60194,-0.003097,51.537302
1684913,2.01512E+12,-0.687677,54.506275
1251436,2.0121E+12,-1.914477,55.670511
1383415,201304FL13048,-2.353751,53.701773
1364249,201301KF60669,0.030492,51.546798
1100313,2.0111E+12,-2.146487,55.141022
931626,201004CL10025,-2.627917,53.717691
313302,20064100C0810,-0.402617,51.682804
1740144,2.01544E+12,-1.546842,50.941761
1145983,2.01136E+12,0.669159,52.493487
1760291,2.01552E+12,-2.742001,50.967564
1354519,201297QB70409,-4.058818,55.796809
719120,2008558C04542,-1.817203,50.726331
1717718,2.01533E+12,-0.704491,52.669627
605108,200806F007790,-2.311941,53.50869
1754630,2.01547E+12,0.483534,50.997813
1499041,201401FH10385,-0.220579,51.503305
75138,2005160D00380,-0.273395,53.756966
440641,2.00712E+12,-1.322887,54.367882
769958,200904TA09173,-2.781063,53.992282
209044,200601LX51116,-0.093721,51.435573
328745,2.00644E+12,-1.257477,50.857385
587730,200801VK72486,-0.300868,51.41331
1426798,201331D224713,-1.202942,52.931739
694074,200845MO29630,-0.286507,51.231806
1460122,2.01346E+12,0.867595,51.126997
63365,2.00513E+12,-1.726033,53.80531
1294231,2.01236E+12,0.776324,52.648483
1080053,201101XH30400,-0.473263,51.543465
1040920,2010550D28507,-1.96907,50.9601
418905,200705BB14311,-3.045306,53.536438
1734165,201543P054085,-1.260809,51.76508
1327453,2.01247E+12,-0.214901,50.834312
716968,200854DC38508,-1.776475,51.56874
724522,2.00862E+12,-4.012993,51.654923
1007094,201043N280060,-0.655631,51.511256
809311,200920J034602,-2.045285,52.447532
102924,200532B000405,-0.426332,52.780251
49573,2.00507E+12,-2.770823,53.269303
668466,2.00836E+12,0.837946,52.830293
1754825,2.01547E+12,-0.112651,50.831862
726232,2.00862E+12,-3.877335,51.688734
1388112,201306J078564,-2.226879,53.39194
645987,2.00822E+12,-1.918458,52.68413
1110645,2.01113E+12,-1.99649,53.611656
809138,200920J014901,-2.091742,52.500008
1144469,2.01135E+12,0.087276,52.509864
1723398,2.01536E+12,1.154404,52.362461
1273507,2.01221E+12,-2.223939,52.974042
1222143,201201QA10053,-0.331274,51.561494
900493,200997GB21102,-4.332483,55.805582
1123113,201120T057121,-1.827724,52.471779
435803,2.0071E+12,-1.778654,55.331772
147633,200545WO68834,-0.480802,51.347168
773401,200906A011904,-2.25522,53.479252
1221012,201201PL60349,0.001504,51.418608
1633610,201493D000121,-2.63768,56.692354
872338,200950AH2N007,-5.078719,50.043324
535637,200750D21D481,-3.606954,50.722865
96740,200530B000258,-1.812832,53.339693
344674,2.00647E+12,0.2341,50.972369
306203,2.00635E+12,-0.29957,52.639143
1409449,2013160D08501,-0.377165,53.786948
1710173,2.0153E+12,-1.736476,53.227382
185844,200591NM12217,-3.913062,57.533707
74105,2005160B04880,-0.656798,53.568701
612798,2.00807E+12,-2.56484,53.39747
1141582,2.01133E+12,-1.140917,52.647152
1235125,2.01203E+12,-3.233372,54.133025
975044,201022C001589,-2.217536,52.139148
195460,200597LA04706,-4.588485,55.995506
91118,200522CF50469,-2.176094,52.264187
322360,200643N207036,-0.535909,51.577625
1300104,20124100E0470,-0.208715,51.91848
1519926,201401ZD39017,-0.09812,51.398954
116281,2.00536E+12,1.291185,52.638617
993552,2.01035E+12,-0.222172,52.55412
650339,2.00823E+12,-1.365077,52.170456
324606,200643P252106,-1.250424,51.752505
310531,200637L013408,1.476913,52.216952
482485,200732C275907,-0.134485,53.168554
1379643,2.01303E+12,-3.219955,54.648709
303308,2.00635E+12,-0.365749,52.294277
962855,2010160B04451,-0.821241,53.525489
464365,200720M050403,-1.465952,52.452269
1132555,201130C000698,-1.422633,53.25116
175938,2005555P05111,-1.912547,50.72914
770635,200905AA33095,-2.970823,53.334183
1752337,2.01547E+12,-0.183949,50.833093
1558306,201420W036744,-1.906201,52.535967
559925,2.00793E+12,-2.949592,56.616156
987371,201032D366510,-0.536337,53.229908
1294522,2.01236E+12,1.725279,52.610906
863263,2.00946E+12,0.253866,51.370587
770482,200905AA31603,-3.027605,53.378564
221705,200601YR90405,-0.085867,51.606038
329194,2.00644E+12,-1.29287,50.696452
923243,201001WW50233,-0.217197,51.460718
102256,20053102D1399,-1.009455,52.917446
708903,200850EC2D002,-4.152423,50.372373
1409262,2013160D06501,-0.298899,53.784623
270853,2006170M31246,-1.221271,54.515742
1386432,201306A071265,-2.179488,53.457818
192821,200597AD01111,-4.324909,55.889942
948089,2.0101E+12,-1.462905,54.888845
905895,201001CW10942,-0.138522,51.508505
1472810,2.01352E+12,-3.072566,51.024388
1373576,201301VW40474,-0.219883,51.421281
1056639,201097NA04010,-3.942643,55.866642
1502677,201401JI40722,0.08553,51.57389
995074,2.01036E+12,1.547533,52.470298
222645,200601ZD30612,-0.028901,51.377126
899649,200997BA00110,-4.197421,55.852739
1753872,2.01547E+12,-0.424228,50.828149
1604379,2.01445E+12,-0.508037,51.428208
892013,200963CP20009,-4.983014,51.716303
271289,2006170S44096,-1.355562,54.512398
1273748,2.01221E+12,-1.620456,52.794574
1628825,2.01462E+12,-3.573375,51.552426
1137381,201132B063311,-0.123052,52.840215
817021,200922E905455,-2.707819,52.059544
235731,200606A063411,-2.244765,53.495454
1775146,2.01595E+12,-3.21718,55.946178
584393,200801RG40408,0.004281,51.49518
1274324,2.01221E+12,-2.062439,53.13002
820941,200930B000402,-1.79526,53.402406
388712,200701CP00133,-0.086853,51.510371
395944,200701KF60276,0.042026,51.514493
575146,200801GD76297,-0.077209,51.530627
1176290,2.01146E+12,1.146217,51.087444
825597,20093102D2682,-1.295304,53.01855
191318,2.00595E+12,-2.485227,55.98066
577437,200801JI76193,0.025617,51.605875
167864,2.00552E+12,-3.135262,50.978238
623821,2.00813E+12,-1.246198,53.635349
1718341,2.01533E+12,-1.071164,52.651833
1238211,201204EA12400,-2.456569,53.651054
1590053,201442I347010,0.842977,51.759468
905037,201001CP00203,-0.079877,51.515203
1383953,201305AA03490,-3.029515,53.4197
449795,200714B087107,-1.47859,53.554521
787075,200911ND07379,-1.499394,54.812615
607750,200806L096014,-2.683714,53.58876
197325,200597QD01604,-4.183036,55.804193
602752,200805FF22751,-2.878163,53.38524
1005304,201042I367010,0.583078,51.569835
363315,200654DE26506,-1.750189,51.573723
1246431,201206Q066761,-2.125786,53.530622
394126,200701JC64943,-0.033651,51.601218
822792,200930M010007,-1.302669,53.273261
1586943,201442I005701,0.284725,51.483513
1616170,201450ED2I002,-4.166043,50.383588
1411413,201320J008373,-2.091005,52.499739
436215,2.0071E+12,-1.693748,54.955697
571080,200801CP00336,-0.080957,51.51693
223454,200601ZT80440,-0.197444,51.344499
1691275,201514A181315,-1.217293,53.565798
1352899,201297GE02111,-4.290659,55.846095
9658,200501KG70312,0.165592,51.542762
1013999,2.01044E+12,-1.325087,50.898083
807065,200920F043101,-1.897789,52.475996
103707,200532B528305,-0.386661,53.062557
1298780,2012400DA1021,-0.576816,51.89824
1550605,2014160B03321,-0.616794,53.566447
300840,2.00633E+12,-1.207907,52.759815
224592,2.00603E+12,-3.437348,54.796328
172551,200554AY40705,-1.738486,51.096945
116776,200537B021822,0.665931,52.095805
788476,200911SK04019,-1.424667,54.716663
271708,200620D108801,-1.80116,52.518845
163085,200550E31Q124,-4.134715,50.378905
547141,2007557B01723,-1.90924,50.754497
1446758,201343N232063,-0.760467,51.636043
1275876,2.01221E+12,-2.230419,53.016369
1356946,201301CW10433,-0.126371,51.513168
378530,2.00695E+12,-3.187186,55.949301
1335821,2.01253E+12,-2.002443,51.992161
516226,2.00744E+12,-1.06667,50.814468
825758,20093102D3385,-1.049962,52.908247
637921,200820E121403,-1.818841,52.448031
409077,200701YE80699,-0.120576,51.643288
1605120,2.01446E+12,0.152751,51.303961
1515482,201401WW51033,-0.166512,51.471807
